date,stock_id,price,volume,market_cap,is_A_share,is_H_share,pair_id,flow_northbound,flow_southbound
2020-01-01,STOCK_00_A,47.567084315139404,72986.91736951066,10832725.179560116,1,0,0,7.254547221805392,0.0
2020-01-01,STOCK_00_H,38.40009011239829,99384.35846214663,8214447.891067821,0,1,0,0.0,-7.62612292776579
2020-01-02,STOCK_00_A,47.41896549700614,49433.539571292546,9668146.470175382,1,0,0,-2.0530821772235393,0.0
2020-01-02,STOCK_00_H,38.02751290446454,74409.70980556466,7441412.965409792,0,1,0,0.0,-6.174562602757903
2020-01-03,STOCK_00_A,47.851284122441086,342291.92791418254,10836499.275285995,1,0,0,-6.319329138931604,0.0
2020-01-03,STOCK_00_H,39.1848248092796,150306.10391307314,13494007.010014424,0,1,0,0.0,-1.4073234689875813
2020-01-04,STOCK_00_A,46.343790077975505,27521.139380296696,12521673.90021212,1,0,0,-3.1570671472576968,0.0
2020-01-04,STOCK_00_H,38.447968377872684,229989.53835755476,12378810.66296977,0,1,0,0.0,0.22096465679096688
2020-01-05,STOCK_00_A,46.743729394729066,104689.59457223417,6318219.417570515,1,0,0,-2.1364494339251356,0.0
2020-01-05,STOCK_00_H,37.51685259767479,467226.235282558,4963225.006371068,0,1,0,0.0,-6.600743043751534
2020-01-06,STOCK_00_A,47.06849520691307,81725.29775201148,13568395.35850118,1,0,0,9.02165947505578,0.0
2020-01-06,STOCK_00_H,38.215956740806845,587251.0035433553,6067478.329115054,0,1,0,0.0,-5.52769035842436
2020-01-07,STOCK_00_A,47.19250676300267,321662.45992725296,5675938.756329892,1,0,0,6.6435591706854025,0.0
2020-01-07,STOCK_00_H,39.229090422685,704433.1043159895,12241939.529895624,0,1,0,0.0,-2.5677155774739737
2020-01-08,STOCK_00_A,48.298484980929416,469509.35354383895,6599828.49266302,1,0,0,1.8265464791139827,0.0
2020-01-08,STOCK_00_H,39.05392048655641,1360441.472318673,8489446.949796429,0,1,0,0.0,-0.3438893627209674
2020-01-09,STOCK_00_A,48.59550042427459,324022.913327969,8365560.312847982,1,0,0,9.274934869188948,0.0
2020-01-09,STOCK_00_H,39.823464012184324,221194.12215091873,7282463.094958203,0,1,0,0.0,-3.863983456314575
2020-01-10,STOCK_00_A,48.857902679378576,268289.4799108046,6205863.991382766,1,0,0,8.292779618807014,0.0
2020-01-10,STOCK_00_H,39.58099466810114,250466.4074782531,9212637.267669756,0,1,0,0.0,-7.091014689625724
